"label","frequency","origin","destination","origin.x","origin.y","destination.x","destination.y","distance","Id"
"ANG MO KIO > ANG MO KIO",691,"ANG MO KIO","ANG MO KIO",103.842096514,1.38009241806,103.842096514,1.38009241806,0,"1"
"ANG MO KIO > BEDOK",91,"ANG MO KIO","BEDOK",103.842096514,1.38009241806,103.928409411,1.32404687673,11.4539428075773,"2"
"ANG MO KIO > BUKIT MERAH",76,"ANG MO KIO","BUKIT MERAH",103.842096514,1.38009241806,103.823127211,1.27549132936,11.8339629114768,"3"
"ANG MO KIO > BUKIT TIMAH",55,"ANG MO KIO","BUKIT TIMAH",103.842096514,1.38009241806,103.790697957,1.32998917971,7.98919491527086,"4"
"ANG MO KIO > CHANGI",28,"ANG MO KIO","CHANGI",103.842096514,1.38009241806,103.997822558,1.35080636051,17.6343928142692,"5"
"ANG MO KIO > CHOA CHU KANG",55,"ANG MO KIO","CHOA CHU KANG",103.842096514,1.38009241806,103.747190557,1.3855559338,10.5793027978657,"6"
"ANG MO KIO > CLEMENTI",23,"ANG MO KIO","CLEMENTI",103.842096514,1.38009241806,103.760745818,1.31760020246,11.4174649997026,"7"
"ANG MO KIO > DOWNTOWN CORE",112,"ANG MO KIO","DOWNTOWN CORE",103.842096514,1.38009241806,103.854301181,1.28506469388,10.6652796495468,"8"
"ANG MO KIO > GEYLANG",57,"ANG MO KIO","GEYLANG",103.842096514,1.38009241806,103.889523394,1.32089838033,8.44268141721291,"9"
"ANG MO KIO > HOUGANG",125,"ANG MO KIO","HOUGANG",103.842096514,1.38009241806,103.889800438,1.36363757599,5.61597927751068,"10"
"ANG MO KIO > KALLANG",64,"ANG MO KIO","KALLANG",103.842096514,1.38009241806,103.866433422,1.31033541885,8.22409045501355,"11"
"ANG MO KIO > MUSEUM",25,"ANG MO KIO","MUSEUM",103.842096514,1.38009241806,103.84671397,1.29591621995,9.38453124112303,"12"
"ANG MO KIO > NOVENA",66,"ANG MO KIO","NOVENA",103.842096514,1.38009241806,103.835308907,1.32698374591,5.96009268882447,"13"
"ANG MO KIO > ORCHARD",38,"ANG MO KIO","ORCHARD",103.842096514,1.38009241806,103.83358043,1.30380687311,8.54479033211755,"14"
"ANG MO KIO > OUTRAM",28,"ANG MO KIO","OUTRAM",103.842096514,1.38009241806,103.842060982,1.28285843063,10.824038690824,"15"
"ANG MO KIO > PASIR RIS",28,"ANG MO KIO","PASIR RIS",103.842096514,1.38009241806,103.948298422,1.3786180999,11.8200559903582,"16"
"ANG MO KIO > QUEENSTOWN",72,"ANG MO KIO","QUEENSTOWN",103.842096514,1.38009241806,103.784558913,1.28907290333,11.9860291514541,"17"
"ANG MO KIO > TAMPINES",81,"ANG MO KIO","TAMPINES",103.842096514,1.38009241806,103.954259949,1.34365576027,13.1249217264143,"18"
"ANG MO KIO > TOA PAYOH",136,"ANG MO KIO","TOA PAYOH",103.842096514,1.38009241806,103.861025875,1.33668355661,5.2714787135726,"19"
